Date,Hour,Temperature,Load
01-Jan-06,1,60.52,796295.46
01-Jan-06,2,60.32,742944.98
01-Jan-06,3,60.16,728366.08
01-Jan-06,4,59.84,723703.54
01-Jan-06,5,59.88,757948.48
01-Jan-06,6,59.92,839127.46
01-Jan-06,7,59.88,995273.08
01-Jan-06,8,60.24,1095098.9
01-Jan-06,9,62.12,1163662.66
01-Jan-06,10,65.0,1163857.92
01-Jan-06,11,68.8,1128249.4
01-Jan-06,12,71.76,1104951.18
01-Jan-06,13,73.76,1100360.6
01-Jan-06,14,75.04,1123109.78
01-Jan-06,15,75.0,1125708.26
01-Jan-06,16,74.24,1131532.04
01-Jan-06,17,72.84,1166881.68
01-Jan-06,18,71.16,1233801.58
01-Jan-06,19,69.8,1332591.66
01-Jan-06,20,69.2,1336326.64
01-Jan-06,21,68.4,1290853.54
01-Jan-06,22,67.68,1180517.76
01-Jan-06,23,67.6,1073732.98
01-Jan-06,24,67.28,911231.32
02-Jan-06,1,67.16,817414.36
02-Jan-06,2,67.24,764029.38
02-Jan-06,3,67.04,733301.14
02-Jan-06,4,66.36,710670.28
02-Jan-06,5,66.0,718183.38
02-Jan-06,6,65.76,797490.14
02-Jan-06,7,66.2,942615.26
02-Jan-06,8,66.76,987454.54
02-Jan-06,9,68.64,1024112.88
02-Jan-06,10,71.24,1064515.6
02-Jan-06,11,74.0,1097631.22
02-Jan-06,12,75.76,1150688.96
02-Jan-06,13,76.8,1191274.92
02-Jan-06,14,77.12,1189890.28
02-Jan-06,15,77.0,1162430.42
02-Jan-06,16,76.52,1191628.98
02-Jan-06,17,75.36,1244157.74
02-Jan-06,18,72.68,1257734.62
02-Jan-06,19,71.6,1351556.66
02-Jan-06,20,70.68,1379231.4
02-Jan-06,21,70.16,1367787.8
02-Jan-06,22,69.44,1247776.18
02-Jan-06,23,69.4,1136676.26
02-Jan-06,24,68.96,969081.56
03-Jan-06,1,68.8,848709.74
03-Jan-06,2,68.8,787777.62
03-Jan-06,3,68.36,740026.76
03-Jan-06,4,68.16,739902.22
03-Jan-06,5,67.56,745260.36
03-Jan-06,6,66.88,804526.4
03-Jan-06,7,66.24,948112.38
03-Jan-06,8,65.52,980161.68
03-Jan-06,9,67.08,1028708.56
03-Jan-06,10,69.0,1075709.34
