Date,Hour,Temperature,Load
01-Jan-06,1,60.52,
01-Jan-06,2,60.32,
01-Jan-06,3,60.16,
01-Jan-06,4,59.84,
01-Jan-06,5,59.88,
01-Jan-06,6,59.92,
01-Jan-06,7,59.88,
01-Jan-06,8,60.24,
01-Jan-06,9,62.12,
01-Jan-06,10,65,
01-Jan-06,11,68.8,
01-Jan-06,12,71.76,
01-Jan-06,13,73.76,
01-Jan-06,14,75.04,
01-Jan-06,15,75,
01-Jan-06,16,74.24,
01-Jan-06,17,72.84,
01-Jan-06,18,71.16,
01-Jan-06,19,69.8,
01-Jan-06,20,69.2,
01-Jan-06,21,68.4,
01-Jan-06,22,67.68,
01-Jan-06,23,67.6,
01-Jan-06,24,67.28,
02-Jan-06,1,67.16,
02-Jan-06,2,67.24,
02-Jan-06,3,67.04,
02-Jan-06,4,66.36,
02-Jan-06,5,66,
02-Jan-06,6,65.76,
02-Jan-06,7,66.2,
02-Jan-06,8,66.76,
02-Jan-06,9,68.64,
02-Jan-06,10,71.24,
02-Jan-06,11,74,
02-Jan-06,12,75.76,
02-Jan-06,13,76.8,
02-Jan-06,14,77.12,
02-Jan-06,15,77,
02-Jan-06,16,76.52,
02-Jan-06,17,75.36,
02-Jan-06,18,72.68,
02-Jan-06,19,71.6,
02-Jan-06,20,70.68,
02-Jan-06,21,70.16,
02-Jan-06,22,69.44,
02-Jan-06,23,69.4,
02-Jan-06,24,68.96,
03-Jan-06,1,68.8,
03-Jan-06,2,68.8,
03-Jan-06,3,68.36,
03-Jan-06,4,68.16,
03-Jan-06,5,67.56,
03-Jan-06,6,66.88,
03-Jan-06,7,66.24,
03-Jan-06,8,65.52,
03-Jan-06,9,67.08,
03-Jan-06,10,69,
03-Jan-06,11,71.24,
03-Jan-06,12,73.44,
03-Jan-06,13,74.96,
03-Jan-06,14,75.88,
03-Jan-06,15,75.4,
03-Jan-06,16,74.56,
03-Jan-06,17,71.96,
03-Jan-06,18,66.8,
03-Jan-06,19,62.92,
03-Jan-06,20,60.48,
03-Jan-06,21,58.6,
03-Jan-06,22,57.16,
03-Jan-06,23,56.28,
03-Jan-06,24,55.28,
04-Jan-06,1,52.68,
04-Jan-06,2,52.28,
04-Jan-06,3,51.36,
04-Jan-06,4,50.12,
04-Jan-06,5,49.2,
04-Jan-06,6,48.68,
04-Jan-06,7,47.72,
04-Jan-06,8,48.24,
04-Jan-06,9,53.6,
04-Jan-06,10,58.76,
04-Jan-06,11,63.72,
04-Jan-06,12,66.6,
04-Jan-06,13,68.48,
04-Jan-06,14,69.76,
04-Jan-06,15,70.32,
04-Jan-06,16,69.88,
04-Jan-06,17,68.16,
04-Jan-06,18,63.28,
04-Jan-06,19,59.36,
