Date,Hour,Temperature,Load
01-Jan-06,1,60.52,960900.5444369694
01-Jan-06,2,60.32,982095.9138143442
01-Jan-06,3,60.16,1003765.2693326226
01-Jan-06,4,59.84,1023538.680287287
01-Jan-06,5,59.88,1047577.9665100833
01-Jan-06,6,59.92,1071617.2527328795
01-Jan-06,7,59.88,1094708.5666738688
01-Jan-06,8,60.24,1122539.7420238936
01-Jan-06,9,62.12,1168382.3907282536
01-Jan-06,10,65.0,1226074.692955203
01-Jan-06,11,68.8,1294668.676422934
01-Jan-06,12,71.76,1353308.9509316906
01-Jan-06,13,73.76,1400573.5580587615
01-Jan-06,14,75.04,1439306.4146495683
01-Jan-06,15,75.0,1462397.7285905574
01-Jan-06,16,74.24,1476957.2919952823
01-Jan-06,17,72.84,1483933.0771455504
01-Jan-06,18,71.16,1487590.9593094934
01-Jan-06,19,69.8,1495040.7306006649
01-Jan-06,20,69.2,1511496.2385690042
01-Jan-06,21,68.4,1525581.8158328258
01-Jan-06,22,67.68,1540615.3653784543
01-Jan-06,23,67.6,1563232.6931785399
01-Jan-06,24,67.28,1583006.104133204
02-Jan-06,1,67.16,1039582.2438269608
02-Jan-06,2,67.24,1064095.5161906607
02-Jan-06,3,67.04,1085290.8855680355
02-Jan-06,4,66.36,1100798.4212545678
02-Jan-06,5,66.0,1120097.8460683282
02-Jan-06,6,65.76,1140819.2293047998
02-Jan-06,7,66.2,1169598.3769366317
02-Jan-06,8,66.76,1199799.4829911743
02-Jan-06,9,68.64,1245642.1316955346
02-Jan-06,10,71.24,1300016.5309361587
02-Jan-06,11,74.0,1356286.8747403973
02-Jan-06,12,75.76,1400707.5650220467
02-Jan-06,13,76.8,1436596.504767432
02-Jan-06,14,77.12,1463953.6939765534
02-Jan-06,15,77.0,1486097.0356357354
02-Jan-06,16,76.52,1503974.5020267852
02-Jan-06,17,75.36,1513794.2040224748
02-Jan-06,18,72.68,1505602.4326638288
02-Jan-06,19,71.6,1516370.1069413251
02-Jan-06,20,70.68,1529033.7257824363
02-Jan-06,21,70.16,1546437.2060325826
02-Jan-06,22,69.44,1561470.755578211
02-Jan-06,23,69.4,1584562.0695192004
02-Jan-06,24,68.96,1602913.5220511537
03-Jan-06,1,68.8,1059015.6756040067
03-Jan-06,2,68.8,1082580.9756858996
03-Jan-06,3,68.36,1100932.428217853
03-Jan-06,4,68.16,1122127.797595228
03-Jan-06,5,67.56,1138583.3055635672
03-Jan-06,6,66.88,1154090.8412500995
03-Jan-06,7,66.24,1170072.363077535
03-Jan-06,8,65.52,1185105.9126231638
03-Jan-06,9,67.08,1227156.6722002956
03-Jan-06,10,69.0,1273473.3070455592
03-Jan-06,11,71.24,1323581.8310180514
03-Jan-06,12,73.44,1373216.3688496402
03-Jan-06,13,74.96,1414793.142285868
03-Jan-06,14,75.88,1449260.1236085428
03-Jan-06,15,75.4,1467137.5899995929
03-Jan-06,16,74.56,1480749.1811225107
03-Jan-06,17,71.96,1473505.3820456718
03-Jan-06,18,66.8,1435926.469951005
03-Jan-06,19,62.92,1413515.1143652522
03-Jan-06,20,60.48,1408167.2598520275
03-Jan-06,21,58.6,1409455.2113114528
03-Jan-06,22,57.16,1415957.0103208171
03-Jan-06,23,56.28,1429094.6153028316
03-Jan-06,24,55.28,1440810.2618621353
04-Jan-06,1,52.68,867999.260819871
04-Jan-06,2,52.28,886824.6994927281
04-Jan-06,3,51.36,899488.3183338388
04-Jan-06,4,50.12,908360.0480477212
04-Jan-06,5,49.2,921023.666888832
04-Jan-06,6,48.68,938427.1471389784
04-Jan-06,7,47.72,950616.7798391855
04-Jan-06,8,48.24,980343.8997528246
04-Jan-06,9,53.6,1067423.3427157947
04-Jan-06,10,58.76,1152132.854974247
04-Jan-06,11,63.72,1234472.4365281817
04-Jan-06,12,66.6,1292164.7387551307
04-Jan-06,13,68.48,1338007.3874594911
04-Jan-06,14,69.76,1376740.244050298
04-Jan-06,15,70.32,1406941.3501048402
04-Jan-06,16,69.88,1425292.8026367938
04-Jan-06,17,68.16,1428476.6986598335
04-Jan-06,18,63.28,1394215.6895514915
04-Jan-06,19,59.36,1371330.347824835
04-Jan-06,20,57.28,1370248.3685797425
04-Jan-06,21,55.56,1373432.2646027822
04-Jan-06,22,54.4,1383251.9665984714
04-Jan-06,23,53.28,1393545.6547350644
04-Jan-06,24,52.28,1405261.301294368
05-Jan-06,1,51.4,852831.704310957
05-Jan-06,2,50.64,867391.267715682
05-Jan-06,3,50.16,885268.734106732
05-Jan-06,4,49.84,905042.1450613963
05-Jan-06,5,49.76,927659.4728614818
05-Jan-06,6,49.2,944588.9669707248
05-Jan-06,7,48.76,962940.4195026781
05-Jan-06,8,49.76,998355.37310716
05-Jan-06,9,54.28,1075481.1071111555
05-Jan-06,10,58.96,1154502.7856787648
05-Jan-06,11,64.48,1243478.1732053494
05-Jan-06,12,67.64,1304488.3784186235
05-Jan-06,13,69.64,1351752.9855456944
05-Jan-06,14,71.2,1393803.7451228262
05-Jan-06,15,71.52,1421160.9343319472
05-Jan-06,16,70.92,1437616.4423002866
05-Jan-06,17,69.16,1440326.3521824225
05-Jan-06,18,65.92,1425498.7748511266
05-Jan-06,19,64.0,1426312.7401696483
05-Jan-06,20,62.64,1433762.51146082
05-Jan-06,21,61.88,1448322.0748655451
05-Jan-06,22,60.64,1457193.8045794272
05-Jan-06,23,59.84,1471279.3818432488
05-Jan-06,24,58.36,1477307.1947117096
06-Jan-06,1,56.2,909710.0412193846
06-Jan-06,2,54.88,917633.7986514596
06-Jan-06,3,52.96,918447.7639699813
06-Jan-06,4,50.96,918313.757006696
06-Jan-06,5,49.08,919601.7084661212
06-Jan-06,6,47.88,928947.4243209071
06-Jan-06,7,46.96,941611.0431620178
06-Jan-06,8,46.6,960910.4679757785
06-Jan-06,9,48.76,1010071.0196664636
06-Jan-06,10,50.4,1053069.7515254023
06-Jan-06,11,52.76,1104600.2339206054
06-Jan-06,12,53.92,1141911.1320887015
06-Jan-06,13,55.08,1179222.0302567976
06-Jan-06,14,55.72,1210371.1085931472
06-Jan-06,15,55.64,1232988.4363932328
06-Jan-06,16,55.0,1248969.9582206686
06-Jan-06,17,53.4,1253575.8126664187
06-Jan-06,18,51.12,1250123.9027168083
06-Jan-06,19,49.32,1252359.8264580406
06-Jan-06,20,48.28,1263601.4868764407
06-Jan-06,21,46.56,1266785.3828994804
06-Jan-06,22,45.36,1276131.0987542663
06-Jan-06,23,44.56,1290216.6760180877
06-Jan-06,24,43.96,1306672.183986427
07-Jan-06,1,41.4,734335.1690850662
07-Jan-06,2,40.0,741310.9542353342
07-Jan-06,3,38.92,752078.6285128308
07-Jan-06,4,38.24,767586.164199363
07-Jan-06,5,37.24,779301.8107586666
07-Jan-06,6,36.64,795757.318727006
07-Jan-06,7,35.88,810316.8821317309
07-Jan-06,8,36.56,841939.9466089843
07-Jan-06,9,39.8,903898.1241040655
07-Jan-06,10,42.36,957798.5372037862
07-Jan-06,11,46.0,1024496.5761079032
07-Jan-06,12,48.4,1076501.0446440098
07-Jan-06,13,51.08,1131823.416166441
07-Jan-06,14,53.04,1178614.0371526084
07-Jan-06,15,53.8,1211185.0739116687
07-Jan-06,16,54.24,1239964.2215435007
07-Jan-06,17,53.04,1249309.9373982865
07-Jan-06,18,49.2,1227372.5679534373
07-Jan-06,19,45.12,1202591.2816631666
07-Jan-06,20,42.48,1194873.4964454242
07-Jan-06,21,41.48,1206589.1430047278
07-Jan-06,22,40.4,1217356.8172822243
07-Jan-06,23,39.76,1233338.3391096601
07-Jan-06,24,38.88,1246475.9440916744
08-Jan-06,1,37.56,688832.4995583242
08-Jan-06,2,36.64,701496.118399435
08-Jan-06,3,35.44,710841.8342542208
08-Jan-06,4,35.64,736777.0650406315
08-Jan-06,5,35.44,757972.4344180062
08-Jan-06,6,35.4,781063.7483589954
08-Jan-06,7,34.36,792305.4087773955
08-Jan-06,8,35.32,827246.3762409738
08-Jan-06,9,43.28,945134.9183626755
08-Jan-06,10,51.04,1060653.5297798594
08-Jan-06,11,57.28,1158160.667842708
08-Jan-06,12,60.64,1221540.8037605002
08-Jan-06,13,62.84,1271175.3415920888
08-Jan-06,14,64.08,1309434.2120419918
08-Jan-06,15,64.52,1338213.3596738237
08-Jan-06,16,64.48,1361304.673614813
08-Jan-06,17,63.0,1367332.4864832738
08-Jan-06,18,58.76,1340655.2556293888
08-Jan-06,19,54.44,1313030.0524936968
08-Jan-06,20,52.12,1309104.156403183
08-Jan-06,21,50.68,1315605.9554125473
08-Jan-06,22,49.08,1320211.8098582975
08-Jan-06,23,48.16,1332875.4286994082
08-Jan-06,24,47.6,1349804.9228086513
09-Jan-06,1,46.56,795479.3812616259
09-Jan-06,2,45.8,810038.944666351
09-Jan-06,3,45.0,824124.5219301723
09-Jan-06,4,44.96,847215.8358711615
09-Jan-06,5,43.76,856561.5517259473
09-Jan-06,6,43.16,873017.0596942867
09-Jan-06,7,42.08,883784.7339717832
09-Jan-06,8,43.8,927731.438112529
09-Jan-06,9,51.56,1043250.0495297131
09-Jan-06,10,59.04,1155450.757960572
09-Jan-06,11,64.04,1238264.32565541
09-Jan-06,12,67.04,1297378.5863050702
09-Jan-06,13,69.08,1345117.1795730446
09-Jan-06,14,69.88,1378162.2024730083
09-Jan-06,15,70.36,1407415.336245744
09-Jan-06,16,70.44,1431928.6086094438
09-Jan-06,17,68.96,1437956.4214779045
09-Jan-06,18,63.2,1393267.7172696844
09-Jan-06,19,58.44,1360428.666584053
09-Jan-06,20,56.56,1361716.6180434783
09-Jan-06,21,54.84,1364900.5140665178
09-Jan-06,22,53.44,1371876.299216786
09-Jan-06,23,52.6,1385487.8903397038
09-Jan-06,24,52.24,1404787.3151534644
10-Jan-06,1,50.8,845721.9121974035
10-Jan-06,2,50.08,860755.4617430321
10-Jan-06,3,49.8,881002.8588385999
10-Jan-06,4,49.96,906464.103484107
10-Jan-06,5,50.08,931451.3619887104
10-Jan-06,6,49.76,951224.7729433745
10-Jan-06,7,50.2,980003.9205752064
10-Jan-06,8,51.68,1021106.707870531
10-Jan-06,9,57.4,1112452.0261016332
10-Jan-06,10,63.36,1206641.2611781568
10-Jan-06,11,68.72,1293720.704141127
10-Jan-06,12,71.32,1348095.103381751
10-Jan-06,13,72.8,1389197.8906770758
10-Jan-06,14,73.72,1423664.8719997504
10-Jan-06,15,73.36,1442964.2968135113
10-Jan-06,16,72.92,1461315.7493454646
10-Jan-06,17,71.48,1467817.5483548292
10-Jan-06,18,68.56,1456781.860150762
10-Jan-06,19,65.2,1440532.324396755
10-Jan-06,20,63.88,1448456.0818288303
10-Jan-06,21,63.12,1463015.6452335555
10-Jan-06,22,62.52,1479471.1532018948
10-Jan-06,23,61.96,1496400.6473111375
10-Jan-06,24,60.68,1504798.3908841163
11-Jan-06,1,60.4,959478.5860142587
11-Jan-06,2,60.0,978304.0246871158
11-Jan-06,3,59.52,996181.4910781657
11-Jan-06,4,58.4,1006475.1792147587
11-Jan-06,5,57.32,1017242.8534922552
11-Jan-06,6,57.36,1041282.1397150515
