Date,Hour,Temperature,Load
01-Jan-06,1,60.52,781743.7930402579
01-Jan-06,2,60.32,729533.6831253292
01-Jan-06,3,60.16,676700.5776271047
01-Jan-06,4,59.84,678646.3716285946
01-Jan-06,5,59.88,741008.9272289397
01-Jan-06,6,59.92,851187.0222854139
01-Jan-06,7,59.88,984687.651854706
01-Jan-06,8,60.24,1103794.024875951
01-Jan-06,9,62.12,1153449.6663950803
01-Jan-06,10,65.0,1138684.6278185965
01-Jan-06,11,68.8,1092051.6969752433
01-Jan-06,12,71.76,1073607.553008807
01-Jan-06,13,73.76,1083370.3232780816
01-Jan-06,14,75.04,1116220.0574183585
01-Jan-06,15,75.0,1135408.4739695909
01-Jan-06,16,74.24,1156316.413158548
01-Jan-06,17,72.84,1183667.009372008
01-Jan-06,18,71.16,1226810.4673473956
01-Jan-06,19,69.8,1282981.2023162963
01-Jan-06,20,69.2,1330693.2599094035
01-Jan-06,21,68.4,1321433.9700925471
01-Jan-06,22,67.68,1242101.2950372817
01-Jan-06,23,67.6,1102569.587075484
01-Jan-06,24,67.28,920437.8637554767
02-Jan-06,1,67.16,805427.7786422865
02-Jan-06,2,67.24,781270.7262275638
02-Jan-06,3,67.04,730773.0616175355
02-Jan-06,4,66.36,707469.8151258351
02-Jan-06,5,66.0,743708.2323814752
02-Jan-06,6,65.76,823447.972164941
02-Jan-06,7,66.2,923463.5233488204
02-Jan-06,8,66.76,1012854.8517752411
02-Jan-06,9,68.64,1070453.3417383553
02-Jan-06,10,71.24,1102044.5806610705
02-Jan-06,11,74.0,1135738.5625192048
02-Jan-06,12,75.76,1166616.2776379706
02-Jan-06,13,76.8,1193709.7299411418
02-Jan-06,14,77.12,1211594.8968501212
02-Jan-06,15,77.0,1233815.102075708
02-Jan-06,16,76.52,1266493.5369939925
02-Jan-06,17,75.36,1290839.6971438052
02-Jan-06,18,72.68,1274002.1038224818
02-Jan-06,19,71.6,1331302.7278134944
02-Jan-06,20,70.68,1368457.2615239741
02-Jan-06,21,70.16,1364580.2380435588
02-Jan-06,22,69.44,1282390.6198942782
02-Jan-06,23,69.4,1146563.2000506045
02-Jan-06,24,68.96,962045.1394722583
03-Jan-06,1,68.8,846238.9523373852
03-Jan-06,2,68.8,823360.7421136098
03-Jan-06,3,68.36,763952.1763914349
03-Jan-06,4,68.16,745012.0716996314
03-Jan-06,5,67.56,766911.6368346931
03-Jan-06,6,66.88,832228.7121334197
03-Jan-06,7,66.24,923523.4872665526
03-Jan-06,8,65.52,1018749.7334998967
03-Jan-06,9,67.08,1075702.7577313902
03-Jan-06,10,69.0,1095163.3953027846
03-Jan-06,11,71.24,1094004.4770219447
03-Jan-06,12,73.44,1100119.514670265
03-Jan-06,13,74.96,1119122.192745817
03-Jan-06,14,75.88,1150891.6234851005
03-Jan-06,15,75.4,1152698.186258805
03-Jan-06,16,74.56,1169464.2028898122
03-Jan-06,17,71.96,1156778.7385826232
03-Jan-06,18,66.8,1169004.8844242217
03-Jan-06,19,62.92,1252048.721429837
03-Jan-06,20,60.48,1312304.4623398902
03-Jan-06,21,58.6,1321031.6200392367
03-Jan-06,22,57.16,1263178.4896776797
03-Jan-06,23,56.28,1135944.4927349212
03-Jan-06,24,55.28,985272.421103728
04-Jan-06,1,52.68,1017010.8697091611
04-Jan-06,2,52.28,943880.8385371985
04-Jan-06,3,51.36,910042.3665061118
04-Jan-06,4,50.12,963573.0855534794
04-Jan-06,5,49.2,1084497.8759423615
04-Jan-06,6,48.68,1247520.1296486976
04-Jan-06,7,47.72,1467951.0354628684
04-Jan-06,8,48.24,1603296.9792860867
04-Jan-06,9,53.6,1460391.0435649278
04-Jan-06,10,58.76,1320520.212821138
04-Jan-06,11,63.72,1177194.7053033235
04-Jan-06,12,66.6,1093883.8625488402
04-Jan-06,13,68.48,1038946.3657575967
04-Jan-06,14,69.76,1013345.0749698998
04-Jan-06,15,70.32,1019463.0562832477
04-Jan-06,16,69.88,1049730.83381058
04-Jan-06,17,68.16,1098382.5831625583
04-Jan-06,18,63.28,1190628.9351656558
04-Jan-06,19,59.36,1306556.5183246257
04-Jan-06,20,57.28,1370084.9263167502
04-Jan-06,21,55.56,1384270.0473935725
04-Jan-06,22,54.4,1329499.286572707
04-Jan-06,23,53.28,1220418.0708537223
04-Jan-06,24,52.28,1086246.1932900073
05-Jan-06,1,51.4,1074532.4351518722
05-Jan-06,2,50.64,1017528.4273660006
05-Jan-06,3,50.16,965747.6796144368
05-Jan-06,4,49.84,977332.6318040015
05-Jan-06,5,49.76,1055758.3167095305
05-Jan-06,6,49.2,1219516.906645012
05-Jan-06,7,48.76,1408901.6144253733
05-Jan-06,8,49.76,1518861.929995549
05-Jan-06,9,54.28,1429223.6188168647
05-Jan-06,10,58.96,1312964.486554158
05-Jan-06,11,64.48,1157832.61848892
05-Jan-06,12,67.64,1078671.8128460767
05-Jan-06,13,69.64,1034082.972295654
05-Jan-06,14,71.2,1022657.1791639449
05-Jan-06,15,71.52,1034596.6690755012
05-Jan-06,16,70.92,1063384.2017102363
05-Jan-06,17,69.16,1105229.789352906
05-Jan-06,18,65.92,1169471.3694381835
05-Jan-06,19,64.0,1243534.7567913653
05-Jan-06,20,62.64,1290172.8104395987
05-Jan-06,21,61.88,1283581.32225014
05-Jan-06,22,60.64,1214242.4862971427
05-Jan-06,23,59.84,1076382.4624052169
05-Jan-06,24,58.36,917111.5601818683
06-Jan-06,1,56.2,882411.5719664367
06-Jan-06,2,54.88,845860.6503977003
06-Jan-06,3,52.96,844072.3981299223
06-Jan-06,4,50.96,924083.204451275
06-Jan-06,5,49.08,1090807.5320272567
06-Jan-06,6,47.88,1292406.8487141253
06-Jan-06,7,46.96,1513139.4387732865
06-Jan-06,8,46.6,1700883.9470920088
06-Jan-06,9,48.76,1711860.1786114695
06-Jan-06,10,50.4,1713950.87036742
06-Jan-06,11,52.76,1630234.0558458688
06-Jan-06,12,53.92,1568577.7366360547
06-Jan-06,13,55.08,1479116.0899539115
06-Jan-06,14,55.72,1406102.5310399653
06-Jan-06,15,55.64,1373040.1435064198
06-Jan-06,16,55.0,1380146.7223618152
06-Jan-06,17,53.4,1445240.5152835967
06-Jan-06,18,51.12,1553640.8823447349
06-Jan-06,19,49.32,1648832.7787554385
06-Jan-06,20,48.28,1699711.0244665267
06-Jan-06,21,46.56,1764273.6713175895
06-Jan-06,22,45.36,1762414.7759218337
06-Jan-06,23,44.56,1689448.498433602
06-Jan-06,24,43.96,1577009.1677868487
07-Jan-06,1,41.4,1587942.4665970476
07-Jan-06,2,40.0,1656600.3380398722
07-Jan-06,3,38.92,1716849.3168282332
07-Jan-06,4,38.24,1796772.9156018319
07-Jan-06,5,37.24,1963313.4314908804
07-Jan-06,6,36.64,2132161.4924013736
07-Jan-06,7,35.88,2324313.851834637
07-Jan-06,8,36.56,2397416.696579856
07-Jan-06,9,39.8,2288373.899790299
07-Jan-06,10,42.36,2205473.8454041006
07-Jan-06,11,46.0,2019010.1842734339
07-Jan-06,12,48.4,1874864.178942454
07-Jan-06,13,51.08,1689428.6067848327
07-Jan-06,14,53.04,1538489.0895758988
07-Jan-06,15,53.8,1458696.8015064122
07-Jan-06,16,54.24,1413295.0213000895
07-Jan-06,17,53.04,1460738.5805680873
07-Jan-06,18,49.2,1645827.842134011
07-Jan-06,19,45.12,1885008.4473137977
07-Jan-06,20,42.48,2066301.4871075274
07-Jan-06,21,41.48,2119965.5848690392
07-Jan-06,22,40.4,2138238.2472509267
07-Jan-06,23,39.76,2068197.5374571206
07-Jan-06,24,38.88,1973714.6917179944
08-Jan-06,1,37.56,1784925.0568413632
08-Jan-06,2,36.64,1903473.8482847633
08-Jan-06,3,35.44,2025694.6554855974
08-Jan-06,4,35.64,2041277.1312604668
08-Jan-06,5,35.44,2131907.177876693
08-Jan-06,6,35.4,2240628.7943926277
08-Jan-06,7,34.36,2440060.809337002
08-Jan-06,8,35.32,2480715.2343084635
