Hour,Temperature,Load
1,43.72,1384494
2,42.72,1392822
3,41.84,1407887
4,41.04,1438658
5,40.56,1484046
6,39.56,1559169
7,38.68,1665253
8,38.88,1797826
9,42.16,1871982
10,46.56,1808095
11,51.48,1664677
12,55.12,1496108
13,55.72,1336017
14,57.16,1205316
15,59.68,1119717
16,59.44,1089214
17,58.24,1134721
18,54.96,1272858
19,53.24,1439264
20,52.48,1451540
21,51.84,1421758
22,50.96,1353192
23,50.92,1243541
24,50.2,1131533
1,49.36,1059968
2,48.72,1037745
3,48.68,1040224
4,49.16,1061350
5,48.68,1111704
6,49.4,1228713
7,49.96,1372016
8,51,1437581
9,52.92,1453318
10,54.48,1464511
11,56.16,1461564
12,56.72,1446414
13,56,1430400
14,55.84,1400935
15,55.68,1348645
16,55.28,1306100
17,54.8,1334734
18,53.72,1480547
19,52.24,1627644
20,51,1618167
21,49.84,1574430
22,48.4,1509438
23,47.72,1418878
24,47.36,1314143
1,46.72,1243783
2,45.88,1232629
3,45.12,1253069
4,44.48,1291699
5,43.92,1361961
6,43.28,1509614
7,43.28,1699977
8,43.04,1808900
9,43.08,1836818
10,43.68,1860145
11,45,1854124
12,46.24,1811057
13,46.24,1777247
14,47.08,1760297
15,46.96,1754701
16,47,1780181
17,46,1872009
18,44.6,2007456
19,43.32,2196752
20,42,2231312
21,41.08,2260145
22,40.12,2202390
23,38.92,2106229
24,38.36,2002308
1,35.24,1948510
2,34.44,1969377
3,33.12,2012981
4,32.08,2079779
5,31.08,2175967
6,30.64,2324188
7,29.8,2449261
8,29.4,2545548
9,32.44,2492598
10,35.84,2400051
11,39.8,2215034
12,42.88,1983061
13,45.52,1754304
14,48,1571357
15,48.96,1435767
16,49.52,1375275
17,48.88,1429165
18,44.8,1665978
19,40.32,1998735
20,37.48,2137847
21,36.28,2229186
22,34.28,2283298
23,33.92,2281377
24,34.16,2234492
1,33.4,2206609
2,33.08,2231348
3,32.48,2268887
4,32.52,2315902
5,32.36,2374934
6,32.2,2447119
7,32.4,2454500
8,33.52,2564974
9,38.4,2588347
10,44.32,2445946
11,50.52,2118183
12,54.16,1794081
13,56.36,1539011
14,58.48,1356704
15,59.52,1240281
16,59.88,1165297
17,59.08,1179711
18,54.96,1313806
19,52.16,1500588
20,50.88,1539604
21,49.88,1538265
22,49.32,1506227
23,51,1432499
24,51.6,1328303
1,51.64,1229762
2,54,1174651
3,55.52,1138770
4,56.64,1104162
5,58.56,1079453
6,59.32,1068708
7,59.8,1085171
8,59.8,1142253
9,60.28,1229494
10,60.36,1263747
11,62.4,1212010
12,63.64,1136064
13,64.52,1097296
14,64.84,1054309
15,64.92,1023492
16,64.16,1025361
17,62.4,1074447
18,60.36,1181899
19,58.16,1327549
20,56.8,1344816
21,55.24,1325391
22,53.96,1266657
23,52.56,1178158
24,51.48,1084087
1,51.12,1023048
2,50.04,1012136
3,49.32,1027816
4,48.36,1055278
5,46.88,1139646
6,45.72,1332646
7,45.24,1600928
8,44.8,1699503
9,47.32,1646057
10,49.68,1525405
11,52.12,1442199
12,53.4,1416043
13,54.36,1383722
14,54.28,1343702
15,54.08,1340583
16,53.68,1378452
17,52.24,1484364
18,50.08,1732290
19,47.4,2000201
20,45.84,2059685
21,44.24,2045227
22,42.56,1979832
23,40.88,1857638
24,40.44,1749156
